y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
50;26;1859 1896 1992-v1 1992-v2 1992-HD;600000;126224;600600;125824;2.33650586;48.83648960;2.34467889;48.83289227
50;27;1859 1912 1971-v1 1971-v2 1971-HD;600600;126224;601200;125824;2.34467943;48.83648935;2.35285186;48.83289144
50;28;1854 1911 1965 1987-v1 1987-v2 1987-HD;601200;126224;601800;125824;2.35285299;48.83648853;2.36102483;48.83289003
50;29;1854 1912 1966 1966-HD;601800;126224;602400;125824;2.36102655;48.83648712;2.36919780;48.83288803
50;32;1958-v1 1958-HD;603600;126224;604200;125824;2.38554724;48.83647937;2.39371671;48.83287853
50;34;1958 1984 1984-HD;604800;126224;605400;125824;2.40189436;48.83647128;2.41006265;48.83286927
50;35;1958 1984 1984-HD;605400;126224;606000;125824;2.41006791;48.83646635;2.41823561;48.83286376
51;8;1974;589200;125824;589800;125424;2.18939259;48.83279677;2.19757563;48.82920999
51;9;1974;589800;125824;590400;125424;2.19756554;48.83280707;2.20574799;48.82921969
51;20;1899 1964 2000-v1 2000-v2 2000-HD;596400;125824;597000;125424;2.28746808;48.83288167;2.29564406;48.82928785
51;21;1958 1989-v1 1989-v2 1989-HD;597000;125824;597600;125424;2.29564105;48.83288494;2.30381644;48.82929054
51;22;1899 1995 1964-HD;597600;125824;598200;125424;2.30381402;48.83288762;2.31198882;48.82929263
51;23;1896 1956-v1 1956-HD;598200;125824;598800;125424;2.31198700;48.83288972;2.32016120;48.82929415
51;24;1965 2002 2002-HD;598800;125824;599400;125424;2.32015997;48.83289124;2.32833358;48.82929508
51;25;1859 1953 1968 1978 1995 1978-HD;599400;125824;600000;125424;2.32833294;48.83289216;2.33650597;48.82929542
51;26;1859 1965 1991-v1 1991-v2 1991-HD;600000;125824;600600;125424;2.33650591;48.83289251;2.34467835;48.82929518
51;27;1859 1912-v2 1966 2002-HD;600600;125824;601200;125424;2.34467889;48.83289227;2.35285073;48.82929435
51;28;1857 1935 1964 1986-v1 1986-v2 1986-HD;601200;125824;601800;125424;2.35285186;48.83289144;2.36102311;48.82929294
51;29;1857 1964 1964-HD;601800;125824;602400;125424;2.36102483;48.83289003;2.36919549;48.82929095
51;30;1964 1964-HD;602400;125824;603000;125424;2.36919780;48.83288803;2.37736787;48.82928836
51;33;1957 1984 1984-HD;604200;125824;604800;125424;2.39371671;48.83287853;2.40188501;48.82927711
51;34;1957 1984 1984-HD;604800;125824;605400;125424;2.40188968;48.83287419;2.41005738;48.82927218
51;36;1946-v1 1946-v2;606000;125824;606600;125424;2.41823561;48.83286376;2.42640213;48.82926058
52;8;1974;589200;125424;589800;125024;2.18940328;48.82919969;2.19758573;48.82561291
52;9;1974;589800;125424;590400;125024;2.19757563;48.82920999;2.20575750;48.82562261
52;10;1972;590400;125424;591000;125024;2.20574799;48.82921969;2.21392926;48.82563174
52;12;1974;591600;125424;592200;125024;2.22209271;48.82923735;2.23027281;48.82564822
52;20;1950 1971 1988 1988-HD;596400;125424;597000;125024;2.28747168;48.82928458;2.29564707;48.82569076
52;21;1950 1971-v1 1971-v2 1971-HD;597000;125424;597600;125024;2.29564406;48.82928785;2.30381886;48.82569345
52;22;1964 1964-HD;597600;125424;598200;125024;2.30381644;48.82929054;2.31199065;48.82569555
52;23;1897 1964 1964-HD;598200;125424;598800;125024;2.31198882;48.82929263;2.32016244;48.82569706
52;24;1948 1968 1991-v1 1991-v2 1991-HD;598800;125424;599400;125024;2.32016120;48.82929415;2.32833423;48.82569799
52;25;1897 1967 1987 1987-HD;599400;125424;600000;125024;2.32833358;48.82929508;2.33650602;48.82569834
52;26;1896 1965 1984 1984-HD;600000;125424;600600;125024;2.33650597;48.82929542;2.34467781;48.82569809
52;27;1966 1989-v1 1989-v2 1989-HD;600600;125424;601200;125024;2.34467835;48.82929518;2.35284960;48.82569727
52;28;1984-v1 1984-v2 1984-HD;601200;125424;601800;125024;2.35285073;48.82929435;2.36102139;48.82569586
52;29;1966 1992-v1 1992-v2 1992-HD;601800;125424;602400;125024;2.36102311;48.82929294;2.36919318;48.82569386
52;30;1907 1966 2000 2000-HD;602400;125424;603000;125024;2.36919549;48.82929095;2.37736497;48.82569128
52;33;1948 1967;604200;125424;604800;125024;2.39371263;48.82928144;2.40188033;48.82568002
52;34;1967;604800;125424;605400;125024;2.40188501;48.82927711;2.41005211;48.82567510
52;36;1946-v1 1946-v2;606000;125424;606600;125024;2.41822975;48.82926667;2.42639568;48.82566350
53;9;1972;589800;125024;590400;124624;2.19758573;48.82561291;2.20576700;48.82202553
53;10;1972;590400;125024;591000;124624;2.20575750;48.82562261;2.21393818;48.82203465
53;11;1971;591000;125024;591600;124624;2.21392926;48.82563174;2.22210936;48.82204319
53;12;1970;591600;125024;592200;124624;2.22210103;48.82564027;2.23028054;48.82205114
53;20;1978;596400;125024;597000;124624;2.28747528;48.82568749;2.29565007;48.82209368
53;21;1950 1971;597000;125024;597600;124624;2.29564707;48.82569076;2.30382127;48.82209636
